file,commit_count,unique_authors,last_modified_days_ago,bug_fix_count,is_buggy
unknown::.github/workflows/pre-commit.yaml,15,1,13,0,0
unknown::.github/workflows/publish.yaml,89,4,13,19,1
unknown::.github/workflows/tests.yaml,74,2,13,11,1
unknown::.pre-commit-config.yaml,66,2,13,1,1
unknown::CHANGES.rst,169,16,13,23,1
unknown::docs/design.rst,2,1,13,0,0
unknown::docs/patterns/streaming.rst,2,1,13,0,0
unknown::docs/patterns/wtforms.rst,2,1,13,0,0
unknown::docs/quickstart.rst,7,3,13,1,1
unknown::docs/server.rst,6,3,13,0,0
unknown::docs/templating.rst,5,2,13,0,0
unknown::docs/web-security.rst,12,2,13,1,1
unknown::src/flask/helpers.py,48,8,13,11,1
unknown::src/flask/sansio/app.py,27,5,13,2,1
unknown::src/flask/sansio/blueprints.py,11,3,13,0,0
unknown::src/flask/templating.py,11,2,13,0,0
unknown::src/flask/testing.py,30,3,13,4,1
unknown::tests/test_helpers.py,9,2,13,0,0
unknown::tests/test_testing.py,14,1,13,0,0
unknown::uv.lock,14,1,13,0,0
unknown::pyproject.toml,82,3,13,3,1
unknown::tests/test_blueprints.py,9,3,13,1,1
unknown::tests/test_templating.py,2,2,13,0,0
unknown::README.md,13,1,81,1,1
unknown::docs/_static/flask-horizontal.svg,9,1,81,0,0
unknown::docs/_static/flask-icon.svg,9,1,81,0,0
unknown::docs/_static/flask-logo.svg,2,1,81,0,0
unknown::docs/_static/flask-name.svg,2,1,81,0,0
unknown::docs/_static/flask-vertical.svg,9,1,81,0,0
unknown::docs/conf.py,14,1,81,1,1
unknown::docs/index.rst,10,2,81,1,1
unknown::docs/_static/flask-horizontal.png,5,1,84,0,0
unknown::docs/_static/flask-vertical.png,5,1,84,0,0
unknown::docs/_static/shortcut-icon.png,5,1,84,0,0
unknown::docs/contributing.rst,5,2,85,2,1
unknown::src/flask/ctx.py,10,2,85,0,0
unknown::src/flask/sansio/scaffold.py,16,3,85,2,1
unknown::src/flask/sessions.py,33,2,85,4,1
unknown::docs/extensiondev.rst,6,1,111,0,0
unknown::docs/installation.rst,9,1,111,0,0
unknown::src/flask/cli.py,30,6,111,7,1
unknown::src/flask/json/provider.py,16,2,111,1,1
unknown::src/flask/typing.py,16,3,111,1,1
unknown::tests/test_cli.py,12,2,111,2,1
unknown::docs/config.rst,22,4,112,3,1
unknown::tests/test_basic.py,25,2,112,5,1
unknown::.github/workflows/lock.yaml,18,2,113,4,1
unknown::.gitignore,8,1,113,1,1
unknown::.readthedocs.yaml,10,1,113,2,1
unknown::requirements/build.in,3,1,113,0,0
unknown::requirements/build.txt,26,1,113,2,1
unknown::requirements/dev.in,8,1,113,1,1
unknown::requirements/dev.txt,57,2,113,9,1
unknown::requirements/docs.in,10,1,113,1,1
unknown::requirements/docs.txt,47,2,113,5,1
unknown::requirements/tests-dev.txt,5,1,113,0,0
unknown::requirements/tests-min.in,8,1,113,0,0
unknown::requirements/tests-min.txt,9,1,113,0,0
unknown::requirements/tests.in,9,1,113,0,0
unknown::requirements/tests.txt,48,2,113,7,1
unknown::requirements/typing.in,11,1,113,1,1
unknown::requirements/typing.txt,63,2,113,9,1
unknown::tox.ini,42,2,113,4,1
unknown::src/flask/app.py,51,3,113,5,1
unknown::docs/patterns/appfactories.rst,5,3,155,2,1
unknown::docs/patterns/favicon.rst,3,1,155,0,0
unknown::docs/patterns/mongoengine.rst,3,2,155,1,1
unknown::tests/conftest.py,7,1,155,0,0
unknown::tests/test_instance_config.py,7,1,155,0,0
unknown::src/flask/__init__.py,34,3,156,2,1
unknown::.github/ISSUE_TEMPLATE/config.yml,4,1,239,1,1
unknown::CODE_OF_CONDUCT.md,2,1,239,0,0
unknown::CONTRIBUTING.rst,7,2,239,1,1
unknown::docs/tutorial/database.rst,3,1,292,1,1
unknown::examples/celery/pyproject.toml,11,1,292,1,1
unknown::examples/javascript/LICENSE.txt,3,1,292,1,1
unknown::examples/javascript/pyproject.toml,13,2,292,1,1
unknown::examples/javascript/tests/test_js_example.py,3,1,292,2,1
unknown::examples/tutorial/LICENSE.txt,3,1,292,1,1
unknown::examples/tutorial/flaskr/db.py,3,1,292,1,1
unknown::examples/tutorial/pyproject.toml,9,1,292,1,1
unknown::tests/test_request.py,4,1,293,0,0
unknown::tests/type_check/typing_app_decorators.py,2,1,297,0,0
unknown::tests/type_check/typing_error_handler.py,2,1,297,0,0
unknown::tests/type_check/typing_route.py,2,1,297,0,0
unknown::src/flask/wrappers.py,13,3,304,3,1
unknown::requirements-skip/README.md,5,1,305,0,0
unknown::requirements-skip/tests-min.in,4,1,305,0,0
unknown::docs/async-await.rst,2,1,305,0,0
unknown::src/flask/config.py,12,2,305,1,1
unknown::src/flask/blueprints.py,16,4,312,2,1
unknown::src/flask/views.py,10,2,312,2,1
unknown::pre-commit.yaml,1,1,365,0,0
unknown::.github/dependabot.yml,7,1,374,1,1
unknown::docs/deploying/waitress.rst,3,2,374,1,1
unknown::docs/logging.rst,2,1,512,0,0
unknown::.devcontainer/on-create-command.sh,6,2,512,1,1
unknown::.editorconfig,2,1,512,1,1
unknown::.github/ISSUE_TEMPLATE/bug-report.md,2,1,512,1,1
unknown::.github/SECURITY.md,2,1,512,1,1
unknown::.github/pull_request_template.md,2,1,512,1,1
unknown::LICENSE.txt,2,1,512,1,1
unknown::README.rst,3,1,512,1,1
unknown::docs/license.rst,4,1,512,1,1
unknown::src/flask/json/tag.py,9,1,512,1,1
unknown::tests/test_json.py,5,1,512,1,1
unknown::tests/typing/typing_app_decorators.py,5,1,512,1,1
unknown::src/flask/debughelpers.py,7,2,592,0,0
unknown::src/flask/json/__init__.py,3,1,592,0,0
unknown::src/flask/logging.py,7,2,592,0,0
unknown::requirements-skip/tests-dev.txt,3,1,662,0,0
unknown::requirements-skip/tests-min.txt,3,1,662,0,0
unknown::requirements/tests-pallets-min.txt,21,2,662,0,0
unknown::.flake8,3,1,662,0,0
unknown::examples/javascript/js_example/views.py,3,1,662,0,0
unknown::examples/tutorial/flaskr/__init__.py,3,1,662,0,0
unknown::examples/tutorial/flaskr/auth.py,3,1,662,0,0
unknown::examples/tutorial/flaskr/blog.py,3,1,662,0,0
unknown::tests/test_appctx.py,3,1,662,0,0
unknown::tests/test_apps/subdomaintestmodule/__init__.py,3,1,662,0,0
unknown::tests/test_signals.py,5,1,662,0,0
unknown::tests/test_views.py,3,1,662,0,0
unknown::tests/typing/typing_route.py,5,1,662,0,0
unknown::docs/deploying/asgi.rst,2,2,674,1,1
unknown::docs/testing.rst,2,2,682,2,1
unknown::examples/javascript/README.rst,1,1,696,0,0
unknown::requirements/tests-pallets-min.in,18,2,703,0,0
unknown::docs/patterns/javascript.rst,3,3,711,2,1
unknown::src/flask/sansio/README.md,2,2,743,0,0
unknown::docs/api.rst,4,1,747,0,0
unknown::src/flask/globals.py,4,1,747,0,0
unknown::src/flask/signals.py,4,1,747,0,0
unknown::docs/patterns/appdispatch.rst,4,2,747,2,1
unknown::docs/errorhandling.rst,4,2,747,2,1
unknown::docs/tutorial/install.rst,6,2,747,0,0
unknown::MANIFEST.in,2,1,797,0,0
unknown::docs/patterns/packages.rst,3,1,797,0,0
unknown::examples/javascript/MANIFEST.in,3,1,797,0,0
unknown::examples/tutorial/MANIFEST.in,3,1,797,0,0
unknown::docs/patterns/sqlalchemy.rst,3,2,798,0,0
unknown::src/flask/scaffold.py,11,1,815,2,1
unknown::tests/test_config.py,3,1,853,0,0
unknown::examples/celery/requirements.txt,2,1,854,0,0
unknown::docs/signals.rst,4,2,861,0,0
unknown::artwork/LICENSE.rst,2,1,865,0,0
unknown::artwork/logo-full.svg,2,1,865,0,0
unknown::artwork/logo-lineart.svg,2,1,865,0,0
unknown::docs/_static/flask-icon.png,2,1,865,0,0
unknown::docs/_static/flask-logo.png,2,1,865,0,0
unknown::docs/_static/no.png,2,1,865,0,0
unknown::docs/_static/yes.png,2,1,865,0,0
unknown::docs/debugging.rst,3,1,870,2,1
unknown::docs/deploying/eventlet.rst,3,2,870,1,1
unknown::.devcontainer/devcontainer.json,1,1,872,0,0
unknown::docs/appcontext.rst,2,1,873,0,0
unknown::docs/reqcontext.rst,2,1,873,0,0
